1079, Y,high,Peer reviewed study created a patient specific human heart digital twin with full text in English
1068, N,high,Review article does not present creation or evaluation of a non theoretical human digital twin
520, N,high,Review article only proposes conceptual framework without building or evaluating an implemented human digital twin
1134, Y,high,Peer-reviewed study presenting and evaluating patient-specific cancer digital twin simulations in English full text
146, N,high,Systematic review not original research and does not create or evaluate a non theoretical human digital twin
646, N,high,bioRxiv preprint states not peer reviewed
1200, Y,high,Peer reviewed English study creates and tests personalised metabolic digital twin models in human diabetes patients
1119, Y,high,Peer reviewed original research creates and validates a human infant microbiome digital twin using clinical data
1042, N,high,Implements a mouse liver digital twin not human therefore does not meet human digital twin inclusion
1282, N,high,Digital twin is for mouse liver not human
456, N,high,Mentions MSK digital twin only as potential not claiming creation or evaluation of an HDT
